000033,Alabama A&M Univ
004393,Alamo Colleges
000100,American Univ
000127,Appalachian State Univ
000145,Arizona State Univ
000155,Arkansas State Univ
000220,Auburn Univ
000235,Augustana College
000290,Ball State Univ
000335,Barry Univ
000350,Baylor Univ
000370,Bellarmine Univ
000379,Bemidji State Univ
000405,Berea College
000520,Boston College
000525,Boston Univ
000535,Bowling Green State Univ
000555,Brandeis Univ
000585,Brigham Young Univ
003955,Brigham Young Univ - Idaho
000615,Brown Univ
000635,Bucknell Univ
000680,California Institute of Technology
000684,California Polytechnic State Univ - San Luis Obispo
000676,California State Polytechnic Univ - Pomona
000724,California State Univ - Bakersfield
000668,California State Univ - Chancellors Office
000667,California State Univ - Channel Islands
000883,California State Univ - Chico
000701,California State Univ - Dominguez Hills
000686,California State Univ - East Bay
000677,California State Univ - Fresno
007125,California State Univ - Fullerton
000697,California State Univ - Long Beach
000687,California State Univ - Los Angeles
000669,California State Univ - Monterey Bay
000696,California State Univ - Northridge
000699,California State Univ - Sacramento
000689,California State Univ - San Bernardino
000702,California State Univ - San Marcos
000679,California State Univ - Stanislaus
000740,Carnegie Mellon Univ
005750,Case Western Reserve Univ
000825,Central Michigan Univ
000879,Chemeketa Community College
007089,City Colleges of Chicago
000949,Clark Atlanta Univ
000975,Clemson Univ
001015,Colgate Univ
000952,College of Southern Nevada
001110,Colorado College
001140,Colorado School of Mines
001120,Colorado State Univ
001126,Columbia College
001130,Columbia Univ
001172,Community Colleges of Spokane
001240,Cornell Univ
001280,Creighton Univ
001289,Culinary Institute of America
001335,Dartmouth College
001345,Davidson College
001395,Depaul Univ
001396,Des Moines Area Community College
001435,Drake Univ
001445,Drexel Univ
001450,Duke Univ
001485,East Carolina Univ
001501,Eastern Kentucky Univ
001553,Elgin Community College
001570,Elon Univ
001585,Emory Univ
001695,Florida Atlantic Univ
001696,Florida International Univ
001710,Florida State Univ
001715,Fordham Univ
001813,George Mason Univ
001835,George Washington Univ
001830,Georgetown Univ
001950,Grand Valley State Univ
001996,Gulf Coast State College
002075,Harvard Univ
002140,Hofstra Univ
007946,Houston Community College System
002202,Humboldt State Univ
002245,Illinois Institute of Technology
002280,Indiana State Univ
002285,Indiana Univ
002290,Indiana Univ Purdue Univ - Indianapolis
002825,Indiana Wesleyan Univ
002315,Iowa State Univ
007329,Ivy Tech Community College of Indiana - System
002355,Johns Hopkins Univ
002366,Johnson County Community College
002397,Kamehameha Schools
002408,Kansas State Univ
002440,Kent State Univ
002452,Kentucky State Univ
002505,Lafayette College
882122,Lamar Univ
002529,Laredo Community College
002570,Lehigh Univ
001340,Lipscomb Univ
002660,Long Island Univ
002695,Louisiana State Univ
002710,Loyola Univ
000131,Madison College
007494,Maricopa County Community College Dist
002840,Marquette Univ
002910,Massachusetts Institute of Technology
002905,MCPHS Univ
002991,Metropolitan Community College
002992,Metropolitan Community Colleges
002993,Miami Dade College
002995,Miami Univ
003005,Michigan State Univ
901830,Minnesota State Colleges & Universities System Campus Service Cooperative
007468,MISBO
003100,Mississippi State Univ
004580,Missouri State Univ
005240,Missouri Univ of Science & Technology
003150,Moody Bible Institute
003165,Morehead State Univ
003170,Morehouse College
003240,Muhlenberg College
005252,Nevada System of Higher Education (NSHE)
003331,New Mexico Institute Mining & Technology
003330,New Mexico State Univ
003360,New York Univ
003392,North Carolina State Univ
003420,North Dakota State Univ
003435,Northeastern Univ
000140,Northern Arizona Univ
003446,Northern Kentucky Univ
003532,Nova Southeastern Univ
003545,Oakland Community College
003580,Ohio State Univ
003585,Ohio Univ
003615,Oklahoma State Univ
003629,Oregon Health & Science Univ
003631,Oregon State Univ
002082,Ozarks Technical Community College
003670,Pace Univ
003725,Penn State Univ
003789,Pittsburg State Univ
003803,Portland State Univ
